provider_id,company_or_parent,current_ticker,network_or_brand,region,current_status,issuer_history,disclosure_grade,aggregate_curve,cohort_curve,priority,comparison_type,notes,ir_url
att,AT&T,T,AT&T Fiber,US,Public,Public,A,Yes,Limited,1,Retail ILEC,"Quarterly consumer fiber connections and consumer served locations; Gigapower added to served-location definition in 1Q25.",https://investors.att.com/financial-reports/quarterly-earnings
verizon_fios,Verizon,VZ,Fios,US,Public,Public,B,Historical only,No,2,Retail ILEC,"Long history of Fios connections; denominator/open-for-sale reporting is less consistent in recent years. Frontier acquired in January 2026 should remain a separate historical series.",https://www.verizon.com/about/investors/quarterly-earnings
frontier,Frontier,VZ,Frontier Fiber,US,Acquired by Verizon 2026,"FYBR public May 2021-Jan 2026; predecessor public",A,Yes,Yes,1,Retail ILEC,"Best US source: quarterly passings/customers plus 12/24/36-month build-cohort tables.",https://investor.frontier.com/
lumen_quantum,Lumen Technologies,LUMN,Quantum Fiber,US,Sold to AT&T 2026,Public parent,B,Yes,Limited,1,Retail ILEC,"Enabled locations and fiber customers are observable, but Mass Markets asset sales create breaks; AT&T bought the remaining FTTH business in February 2026.",https://ir.lumen.com/
kinetic,Uniti Group,UNIT,Kinetic,US,Public,"Windstream private 2020-Aug 2025; Uniti public after merger",A,Yes,Yes,1,Retail ILEC,"Excellent current disclosure: consumer premises, subscribers, churn and explicit 12/24/36-month cohorts.",https://investor.uniti.com/
shentel_glo,Shenandoah Telecommunications,SHEN,Glo Fiber Expansion Markets,US,Public,Public,A,Yes,Yes,1,Retail overbuilder,"Quarterly expansion-market passings/data RGUs and historical launch-vintage charts; Horizon acquisition requires pro-forma care.",https://investor.shentel.com/
tds_telecom,Telephone and Data Systems,TDS,TDS Telecom,US,Public,Public,A,Yes,Limited,1,Retail ILEC/overbuilder,"Fiber service addresses and residential fiber connections disclosed; split incumbent, expansion and cable markets when available.",https://www.tdsinc.com/investor-relations/default.aspx
optimum,Optimum Communications,OPTU,Optimum Fiber,US,Public,"ATUS through Nov 2025; OPTU thereafter",B,Yes,No,1,Retail cable migration,"Passings, fiber customers and penetration disclosed since rollout; most adds include migrations from HFC and are not greenfield share gains.",https://investors.optimum.com/
fidium,Consolidated Communications,,Fidium Fiber,US,Private since Dec 2024,"CNSL public through Dec 2024",A,Yes,Limited,1,Retail ILEC,"Strong 2020-Q3 2024 historical series of gig-capable fiber passings and consumer subscribers; retain as formerly-public benchmark.",https://www.fidiumfiber.com/about-fidium/investors
ting,Tucows,"TCX / TC",Ting Internet,US,Public,Public,B,Yes,Limited,2,Retail overbuilder,"Subscribers and serviceable addresses available in quarterly materials; strategic review and capital-light partnerships complicate denominator consistency.",https://www.tucows.com/investors/financials
ziply,BCE,"BCE / BCE",Ziply Fiber,US,Public parent since Aug 2025,Private standalone; BCE-owned,B,Sparse,Limited,1,Retail ILEC,"Acquisition materials and BCE reporting provide snapshots; no long standalone public quarterly history.",https://www.bce.ca/investors
altafiber,Macquarie Infrastructure Partners,,altafiber,US,Private,"Cincinnati Bell public through Sep 2021",C,Annual snapshots,Narrative,2,Retail ILEC,"Useful 2020-2023 annual FTTP series and earlier management commentary on year-1 to year-4 ramp.",https://www.altafiber.com/about-us/news
hawaiian_telcom,Macquarie Infrastructure Partners,,Hawaiian Telcom,US,Private,"Cincinnati Bell public through Sep 2021",C,Annual snapshots,No,2,Retail ILEC,"Transaction/financing decks provide annual FTTP passings and subscribers.",https://www.hawaiiantel.com/aboutus
atni,ATN International,ATNI,Multiple,US and international,Public,Public,C,Partial,No,3,Mixed geography,"Reports high-speed broadband homes passed and subscribers across unlike geographies/technologies; useful only with segment detail.",https://ir.atni.com/
allo,Nelnet minority investment,NNI,ALLO Fiber,US,Private operating company,Public parent investment,D,No,No,4,Retail overbuilder,"Nelnet is a minority investor and ALLO does not publish a complete recurring subscriber/passings series.",https://www.nelnetinvestors.com/
gfiber,Alphabet,GOOGL,GFiber,US,Public parent,Public parent,D,No,No,4,Retail overbuilder,"Alphabet does not disclose passings or subscribers for GFiber.",https://abc.xyz/investor/
metronet,T-Mobile,TMUS,Metronet,US,Public JV parent,Private standalone,D,No,No,4,Retail overbuilder,"Public transaction targets exist, but a recurring standalone passings/subscriber series is not yet disclosed.",https://investor.t-mobile.com/
lumos,T-Mobile,TMUS,Lumos,US,Public parent,Private standalone,D,No,No,4,Retail overbuilder,"Public transaction targets exist, but a recurring standalone passings/subscriber series is not yet disclosed.",https://investor.t-mobile.com/
brightspeed,Apollo funds,,Brightspeed,US,Private,Private,C,Sparse,Sparse,1,Retail ILEC,"Target company, not a public comp. Company milestones and creditor materials provide selected passings and penetration snapshots.",https://www.brightspeed.com/aboutus/
chorus,Chorus,"CNU / CNU",Chorus Fibre,New Zealand,Public,Public,A,Yes,Rollout-area cohorts,2,Wholesale network,"Exceptionally long uptake series; wholesale take-up can exceed a single retail ISP's share.",https://company.chorus.co.nz/investors
openreach,BT Group,"BT.A / BTGOF",Openreach FTTP,UK,Public parent,Public,A,Yes,Limited,2,Wholesale network,"Quarterly premises passed, connections/take-up and build targets; wholesale rather than retail economics.",https://www.bt.com/about/investors
kpn,KPN,"KPN / KKPNY",KPN and Glaspoort Fiber,Netherlands,Public,Public,A,Yes,Limited,2,Integrated/wholesale,"Homes passed, connected and activated are disclosed; ownership scope and Glaspoort treatment must be retained.",https://ir.kpn.com/results-and-reports/quarterly-results/
proximus,Proximus,"PROX / BGAOY",Proximus Fiber,Belgium,Public,Public,A,Yes,Limited,2,Integrated/wholesale,"Quarterly homes/businesses passed and active fiber lines.",https://www.proximus.com/investors.html
swisscom,Swisscom,"SCMN / SCMWY",Swisscom Fiber,Switzerland,Public,Public,B,Partial,No,3,Integrated,"Coverage and access-line data are useful but exact FTTH retail numerator alignment varies.",https://www.swisscom.ch/en/about/investors.html
telefonica,Telefonica,"TEF / TEF",Multiple FTTH networks,Europe and Latin America,Public,Public,B,Yes,No,3,Integrated/wholesale,"Large FTTH footprint and connected premises; overlapping wholesale/JV footprints can double-count.",https://www.telefonica.com/en/shareholders-investors/
orange,Orange,"ORA / ORAN",Orange Fiber,Europe,Public,Public,B,Yes,No,3,Integrated/wholesale,"Connectable households and FTTH customers disclosed by country; definitions vary across markets.",https://www.orange.com/en/finance
